iName;iAddress
The Parisian;472 Perry Burgs Suite 670, Montreal, QC, H0F6T5
West Newfoundland and Labrador University;28763 Buckridge Road Suite 801, Montreal, QC, H6E5L4
East Krajcik Academy;1741 Geoffrey Isle Apt. 353, Montreal, QC, H2Q8O0
South Ontario Institute;36126 Stracke Glens Suite 730, Montreal, QC, H3Z7V5
Northern Streich University;62648 Balistreri Run Apt. 366, Montreal, QC, H3X5Q7
North Quebec College;52476 Schuster Garden Suite 584, Montreal, QC, H2V2Q7
Goodwin Institute;2615 Gustavo Squares Suite 072, Montreal, QC, H8Q3T4
Eastern Brown;6221 Trantow Harbors Suite 528, Montreal, QC, H2N5I3
East Boehm Academy;95208 Cassondra Well Suite 744, Montreal, QC, H6X3Z5
Hirthe University;766 Jacobson Walks Apt. 593, Montreal, QC, H9V6J2
