barCode;lName;iName;isbnNumber
0-779-774-803-6;Donatello Library;Corwin College;916-8-46-781853-1
1-496-774-035-0;Gauguin Library;The Parisian;546-6-61-381237-9
6-092-929-853-2;Warhol Library;Western Yukon Institute;865-8-93-722874-4
1-962-473-990-0;Titian Library;South Quebec Institute;027-4-42-876998-1
0-426-141-379-1;Titian Library;South Quebec Institute;665-4-49-020583-6
8-044-968-401-9;Joan Miro Library;Corwin College;407-9-55-400165-2
3-181-622-141-0;Titian Library;South Quebec Institute;138-7-10-468290-7
2-886-988-858-1;Joan Miro Library;Corwin College;402-1-86-661202-8
7-371-052-266-6;Diego Rivera Library;Eastern Prince Edward Island University;882-4-31-274351-4
5-117-024-968-9;Donatello Library;Corwin College;407-9-55-400165-2
6-094-664-584-7;Kandinsky Library;Southern Senger College;692-0-98-655416-0
0-002-666-258-0;Warhol Library;Western Yukon Institute;334-3-50-130100-9
5-600-510-009-6;Ansel Adams Library;North Quebec College;809-3-62-821186-6
9-200-613-283-8;Edward Hopper Library;West Legros;677-3-74-483124-4
2-398-327-474-4;Winslow Homer Library;West Keebler;648-0-43-942465-1
2-682-373-006-5;Ansel Adams Library;Eastern Brown;993-1-35-336012-4
2-615-173-341-0;Kandinsky Library;Western Yukon Institute;631-1-92-558463-1
3-136-460-640-9;Chagall Library;The Green;230-1-29-732084-6
0-019-714-042-0;Durer Library;Eastern Brown;605-0-30-121549-8
8-619-670-801-1;Paul Klee Library;North Quebec College;525-4-37-205315-7
5-975-713-484-1;Monet Library;The Parisian;222-4-35-315597-1
9-756-510-058-5;Da Vinci Library;West Newfoundland and Labrador University;809-3-62-821186-6
8-659-702-075-2;Edward Hopper Library;South Ontario Institute;795-5-51-241762-1
0-123-545-356-1;Pissarro Library;East Yukon College;277-8-19-198970-7
2-395-330-275-4;Rembrandt Library;Southern Schuster Institute;814-9-35-967056-1
4-466-091-977-6;Donatello Library;Bailey University;644-1-04-734808-2
9-727-689-158-3;Warhol Library;Western Yukon Institute;314-1-51-818311-6
6-474-711-724-7;Chagall Library;The Green;222-4-35-315597-1
7-068-105-301-6;Pissarro Library;Corwin University;260-0-73-891367-0
9-378-778-002-9;Donatello Library;Bailey University;415-3-93-373701-3
8-325-262-961-3;Ansel Adams Library;North Quebec College;694-1-51-995599-3
6-935-858-290-1;Manet Library;South Ontario Institute;800-9-91-302051-6
8-917-992-119-4;Rothko Library;The Vandervort Academy;974-6-61-592397-4
6-883-857-656-7;Diego Rivera Library;The Parisian;937-1-83-236366-4
6-903-637-620-1;Dali Library;Southern Senger College;570-5-92-304865-3
8-321-810-077-7;Diego Rivera Library;The Parisian;870-8-74-377167-1
4-813-087-203-8;Gauguin Library;North Ontario Institute;608-3-30-809108-2
3-114-897-487-8;Joan Miro Library;Western Yukon Institute;027-4-42-876998-1
0-084-786-078-8;Monet Library;The Parisian;304-1-98-296281-0
4-767-813-017-2;Magritte Library;North Quebec College;624-4-56-811755-7
6-162-003-228-0;Diego Rivera Library;Fisher College;872-9-72-512865-0
5-181-823-421-3;Da Vinci Library;Bailey University;977-6-25-761397-7
5-063-289-958-7;Kandinsky Library;Bednar University;480-9-47-710551-2
